"last_name, first_name","resp_fielder_id","year","outs_above_average","outs_per_play","rel_league_burst_distance","rel_league_reaction_distance","rel_league_routing_distance","rel_league_bootup_distance","f_bootup_distance","n","n_outs"
"Nootbaar, Lars","663457","2023","1","47.6","-0.3","0","-0.1","-0.4","33.3","63","30"
"O'Neill, Tyler","641933","2023","1","45.7","0.6","0.1","0.4","1.1","34","35","16"
"Outman, James","681546","2023","8","62.8","0.4","-0.7","-0.1","-0.4","33.7","86","54"
"Peralta, David","444482","2023","-3","42.2","-1","0.2","-0.2","-1","32.5","45","19"
"Perkins, Blake","663368","2023","5","66.7","1.3","0.1","0.1","1.9","35.6","33","22"
"Pham, Tommy","502054","2023","-3","36.4","-0.5","-0.4","0","-0.9","32.5","44","16"
"Profar, Jurickson","595777","2023","-9","26.2","-2.9","-0.1","-0.4","-3.4","30.4","42","11"
"Renfroe, Hunter","592669","2023","-3","26.8","-0.5","0.5","-0.4","-0.4","33.5","56","15"
"Reynolds, Bryan","668804","2023","-3","43.8","-0.8","-1","0.4","-1.4","31.7","48","21"
"Robert Jr., Luis","673357","2023","10","61.3","0.2","-0.3","0.4","0.3","35","80","49"
"Rodríguez, Julio","677594","2023","9","66.3","1.3","-0.4","0","1.1","35.9","80","53"
"Rojas, Johan","679032","2023","9","88.2","2.4","0.5","0.2","3.1","37.8","34","30"
"Rosario, Eddie","592696","2023","0","46.6","-0.6","-0.1","0.2","-0.5","34","73","34"
"Ruiz, Esteury","665923","2023","3","49.1","0.2","-0.2","-0.1","-0.1","33.7","57","28"
"Santander, Anthony","623993","2023","0","47.8","-0.1","-0.6","0.8","0","33.2","46","22"
"Schwarber, Kyle","656941","2023","-16","16.4","-2.8","-1.8","0.7","-3.9","29.3","55","9"
"Siri, Jose","642350","2023","6","62.3","0.7","0.9","-0.9","0.7","34.8","53","33"
"Soto, Juan","665742","2023","-8","32.5","-0.1","0.9","-0.6","0.1","33.6","77","25"
"Springer, George","543807","2023","2","51.6","0.2","-0.1","-0.1","0","33.5","64","33"
"Straw, Myles","664702","2023","4","55.6","0.2","-0.3","0.3","0.3","34.7","63","35"
"Suwinski, Jack","669261","2023","1","53.5","-0.4","-1.2","0.3","-1.3","33.1","71","38"
"Suzuki, Seiya","673548","2023","3","54.2","1.1","0.6","-0.4","1.2","34.5","59","32"
"Sánchez, Jesús","660821","2023","-1","49","0.8","0.7","-0.1","1.4","35.3","49","24"
"Tatis Jr., Fernando","665487","2023","11","71","1","-0.1","0.3","1.2","35","69","49"
"Tauchman, Mike","643565","2023","1","50","-1.1","0.2","-0.1","-1","33.4","44","22"
"Taveras, Leody","665750","2023","5","57.8","1.3","2","-1.2","2","36.6","83","48"
"Taylor, Michael A.","572191","2023","6","63.1","0.2","-0.6","0.7","0.2","34.9","65","41"
"Thomas, Alek","677950","2023","3","59.7","0.8","1.3","-1.8","0.3","34.4","77","46"
"Thomas, Lane","657041","2023","-4","39.2","0.1","-0.6","0.4","-0.1","33.1","79","31"
"Trout, Mike","545361","2023","2","47.9","0.6","0.1","-0.3","0.5","35","48","23"
"Tucker, Kyle","663656","2023","-7","40","-0.9","-0.4","0.4","-0.9","32.2","85","34"
"Varsho, Daulton","662139","2023","9","75.4","0.9","0.8","0.1","1.8","36","61","46"
"Verdugo, Alex","657077","2023","1","46.4","0.5","0.6","-0.3","0.8","33.6","56","26"
"Vierling, Matt","663837","2023","-2","36.7","0.3","-0.1","0","0.2","33.6","60","22"
"Walker, Jordan","691023","2023","-12","23.2","-0.7","-1.1","0.4","-1.4","32.4","56","13"
"Ward, Taylor","621493","2023","1","46.8","0.3","0.2","0.3","0.7","34.7","47","22"
"Waters, Drew","671221","2023","5","54.3","1.6","-0.5","0.3","1.3","35","46","25"
"Wiemer, Joey","686894","2023","8","68.2","1.3","2.1","-1.1","2.2","36.5","66","45"
"Yastrzemski, Mike","573262","2023","1","57.4","0.4","-0.4","0.4","0.4","34.4","47","27"
"Yelich, Christian","592885","2023","3","52.9","-0.8","0.2","0","-0.6","33","51","27"
"Yoshida, Masataka","807799","2023","-6","33.3","-2.1","-0.2","0","-2.3","31.3","39","13"
