"last_name, first_name","resp_fielder_id","year","outs_above_average","outs_per_play","rel_league_burst_distance","rel_league_reaction_distance","rel_league_routing_distance","rel_league_bootup_distance","f_bootup_distance","n","n_outs"
"Acuña Jr., Ronald","660670","2022","-7","37.1","-1","-1.2","0.8","-1.3","32","35","13"
"Adell, Jo","666176","2022","-3","47.5","-0.3","-2.2","0.5","-2","31.6","40","19"
"Almora Jr., Albert","546991","2022","3","56.8","0.8","0.4","0.3","1.5","35.4","37","21"
"Aquino, Aristides","606157","2022","1","51.5","1","0.1","-0.1","1.1","34.1","33","17"
"Arozarena, Randy","668227","2022","-1","44.4","-0.9","-0.3","-0.1","-1.3","31.1","54","24"
"Azocar, José","640492","2022","7","80","1.8","3.3","-1.9","3.2","37.2","35","28"
"Baddoo, Akil","668731","2022","-1","52.9","-0.5","-0.3","0.1","-0.8","32.8","34","18"
"Bader, Harrison","664056","2022","4","64.1","1.5","0.2","-0.3","1.3","35.9","39","25"
"Bellinger, Cody","641355","2022","2","52.3","0.5","-0.1","0.3","0.7","34.6","65","34"
"Benintendi, Andrew","643217","2022","-1","51.9","-0.2","-0.2","0.2","-0.1","33.5","52","27"
"Betts, Mookie","605141","2022","4","56.2","0.8","0.1","0.3","1.2","34.8","73","41"
"Bleday, JJ","668709","2022","-1","37.1","0.1","-0.7","0.2","-0.4","33.4","35","13"
"Bradley Jr., Jackie","598265","2022","6","52.7","1","2.4","-0.7","2.7","37","74","39"
"Calhoun, Kole","594777","2022","-2","42.2","-0.9","1","-1","-0.9","32.3","45","19"
"Canha, Mark","592192","2022","-2","46.6","-0.7","-0.2","0.1","-0.8","33","58","27"
"Carlson, Dylan","666185","2022","0","46.3","-0.5","-0.9","0.6","-0.8","33.3","67","31"
"Castellanos, Nick","592206","2022","-11","28.9","-1.7","-0.1","-0.2","-2","32","76","22"
"Castro, Willi","650489","2022","0","45.5","1","1.4","-0.8","1.6","34.9","33","15"
"Celestino, Gilberto","665482","2022","3","61","-0.2","-0.1","0.2","-0.1","34.4","59","36"
"Daza, Yonathan","602074","2022","0","45.2","-0.5","1","-0.7","0.1","34","62","28"
"De La Cruz, Bryan","650559","2022","-1","51.1","-0.4","-0.2","0.3","-0.3","33.3","47","24"
"Duran, Jarren","680776","2022","-2","43.9","0.6","1.6","-1.5","0.7","35.2","41","18"
"Engel, Adam","641553","2022","2","51.5","1.7","-0.9","0.5","1.2","35.5","33","17"
"Gallo, Joey","608336","2022","0","46.7","0.2","1.1","0","1.3","34.6","45","21"
"Gamel, Ben","592325","2022","-2","40","-0.8","-0.7","0.1","-1.5","32.4","45","18"
"García, Adolis","666969","2022","1","53.5","0.3","0.6","-0.1","0.8","34.7","71","38"
"García, Avisaíl","541645","2022","-2","41","-1.5","-0.9","0.6","-1.9","31","39","16"
"Gonzalez, Oscar","660757","2022","-4","40","-1.2","0.3","-0.6","-1.5","31.5","40","16"
"González, Luis","670768","2022","1","60","-0.1","1.1","0","1","34.6","40","24"
"Gordon, Nick","624503","2022","0","40","-0.5","-0.6","0.1","-1","32.9","40","16"
"Greene, Riley","682985","2022","1","55.6","0.7","1.9","-1.4","1.3","35.9","63","35"
"Grichuk, Randal","545341","2022","0","45.1","-0.2","-1.4","0.6","-0.9","32.4","71","32"
"Grisham, Trent","663757","2022","14","69.4","0.5","2.1","-1.5","1","35.2","98","68"
"Grossman, Robbie","543257","2022","0","46","-0.4","1","-0.7","0","33.3","50","23"
"Gurriel Jr., Lourdes","666971","2022","-5","44","-1.3","-0.3","0.1","-1.4","31.7","50","22"
"Happ, Ian","664023","2022","3","51.3","-0.7","1.1","-0.9","-0.5","33.2","80","41"
"Harris II, Michael","671739","2022","6","60","1.3","0.1","-0.1","1.3","35.9","65","39"
"Hays, Austin","669720","2022","-8","37.3","-0.7","-0.7","0.2","-1.2","32.2","75","28"
"Hernandez, Yadiel","628450","2022","-6","27.8","-1.8","0.2","-0.1","-1.8","31.7","36","10"
"Hernández, Enrique","571771","2022","3","61","0.8","4.3","-1","4.1","39","41","25"
"Hernández, Teoscar","606192","2022","-3","47.5","-0.5","-0.6","0.8","-0.3","33.5","61","29"
"Hicks, Aaron","543305","2022","-1","45.5","-0.5","0.4","-0.1","-0.2","34.3","55","25"
"Isbel, Kyle","664728","2022","10","59.3","2.9","2.4","-0.5","4.8","38.7","59","35"
"Joe, Connor","656582","2022","-3","43.9","-0.5","-0.3","0.2","-0.6","32.4","41","18"
"Judge, Aaron","592450","2022","-1","46","-0.3","-0.5","0.4","-0.4","33.6","63","29"
"Kepler, Max","596146","2022","8","54.5","0.6","-0.1","0.4","0.8","33.7","55","30"
"Kwan, Steven","680757","2022","10","62.7","1.7","0","0","1.7","35.3","83","52"
"Laureano, Ramón","657656","2022","-3","40.8","0.6","2","-0.7","1.9","36","49","20"
"Marsh, Brandon","669016","2022","5","63.2","0.7","-0.5","0.1","0.3","34.9","57","36"
"Marte, Starling","516782","2022","-3","38","-0.1","-0.1","0.5","0.3","33","50","19"
"McCarthy, Jake","664983","2022","-2","39","-0.7","-1.4","0.5","-1.6","31.1","41","16"
"McCormick, Chas","676801","2022","5","54.9","1.4","0.8","0.3","2.6","36.4","51","28"
"Merrifield, Whit","593160","2022","2","57.5","0.2","0","0.3","0.5","34.3","40","23"
"Moore, Dylan","664238","2022","1","55.9","0.9","-0.3","0.1","0.7","34.8","34","19"
"Mullins, Cedric","656775","2022","7","52.4","1","-0.4","0.5","1.1","35.2","103","54"
"Naquin, Tyler","571980","2022","-3","30.3","-1.3","-0.6","-0.1","-2.1","31.1","33","10"
"Nimmo, Brandon","607043","2022","2","50","0.2","-1.3","0.5","-0.6","34.3","56","28"
"Nootbaar, Lars","663457","2022","-1","44.7","0.5","-0.4","-0.2","-0.1","33.2","47","21"
"O'Neill, Tyler","641933","2022","1","45.5","0.2","-0.7","0.6","0.1","32.4","44","20"
"Ortega, Rafael","542364","2022","-2","41.2","-0.1","-0.5","0.4","-0.2","32.9","34","14"
"Pache, Cristian","665506","2022","6","65.9","0.9","0.4","-0.2","1.1","35.8","44","29"
"Pederson, Joc","592626","2022","-9","29.4","-1.5","-1","-0.2","-2.7","30.8","51","15"
"Peralta, David","444482","2022","3","50.9","0.4","0.5","-0.2","0.7","34.4","55","28"
"Pham, Tommy","502054","2022","-3","41.9","-0.5","-0.6","0.4","-0.7","32.5","62","26"
"Phillips, Brett","621433","2022","8","77.1","2.6","1.9","-0.3","4.2","38.7","35","27"
"Pinder, Chad","640461","2022","-2","52.9","-1.9","0.5","-0.8","-2.2","30.9","34","18"
"Pollock, AJ","572041","2022","-1","48.4","-0.1","-1","0.2","-0.9","32.6","62","30"
"Profar, Jurickson","595777","2022","-4","35.4","-0.7","0.6","-0.5","-0.6","32.2","65","23"
"Renfroe, Hunter","592669","2022","-3","37.5","-0.6","0.4","-0.1","-0.3","33.1","48","18"
"Reyes, Victor","622682","2022","-3","43.2","-1.4","-0.4","0.2","-1.5","32.4","37","16"
"Reynolds, Bryan","668804","2022","-6","37.3","-0.2","-1.4","0.7","-1","33.5","59","22"
"Robert Jr., Luis","673357","2022","1","49","-0.7","-0.2","0.1","-0.8","33.4","49","24"
"Robles, Victor","645302","2022","4","61.1","0.2","-1.2","0.2","-0.8","33.3","72","44"
"Rodríguez, Julio","677594","2022","8","70","0.7","-0.4","0","0.2","34.8","60","42"
"Santander, Anthony","623993","2022","-4","39.3","-0.7","-0.7","0.7","-0.8","32.4","61","24"
"Schwarber, Kyle","656941","2022","-10","23.6","-1.8","-1.1","0.7","-2.2","30.7","55","13"
"Senzel, Nick","669222","2022","0","50","-0.4","0.2","0.4","0.3","34.3","54","27"
