"last_name, first_name","resp_fielder_id","year","outs_above_average","outs_per_play","rel_league_burst_distance","rel_league_reaction_distance","rel_league_routing_distance","rel_league_bootup_distance","f_bootup_distance","n","n_outs"
"Sheets, Gavin","657757","2022","-6","21.2","-1.7","0","-0.8","-2.6","30.1","33","7"
"Siri, Jose","642350","2022","12","71.2","2.2","1.6","-0.7","3.2","38.1","52","37"
"Slater, Austin","596103","2022","4","60","1.2","-1.1","0.1","0.2","34.9","35","21"
"Soto, Juan","665742","2022","-10","43.3","-1.1","0.6","-0.2","-0.7","32.8","90","39"
"Springer, George","543807","2022","3","58.8","0.5","-0.3","0","0.2","34.6","34","20"
"Straw, Myles","664702","2022","10","60.6","0.2","0.1","-0.1","0.2","34.3","99","60"
"Suwinski, Jack","669261","2022","-1","45.2","0.1","-0.7","0","-0.6","32.9","42","19"
"Suzuki, Seiya","673548","2022","-3","35.9","-1.3","-0.3","-0.5","-1.9","31.5","39","14"
"Sánchez, Jesús","660821","2022","-4","44.7","0.4","0.1","0.4","0.8","35.2","38","17"
"Tapia, Raimel","606132","2022","-5","31.7","-0.8","-0.7","-0.2","-1.7","32.3","41","13"
"Taveras, Leody","665750","2022","3","57.4","0.7","-0.3","0","0.4","34.4","61","35"
"Taylor, Chris","621035","2022","0","39.5","-0.4","-1.1","0.4","-1.1","32.2","43","17"
"Taylor, Michael A.","572191","2022","4","58.2","1.1","-0.5","0.4","1","35.6","79","46"
"Taylor, Tyrone","621438","2022","5","58.6","1","0.9","-0.5","1.4","35.8","58","34"
"Thomas, Alek","677950","2022","7","63.9","0.1","0.7","-1.4","-0.6","33.4","72","46"
"Thomas, Lane","657041","2022","-4","43.1","-0.5","-0.6","0.1","-1.1","33.2","58","25"
"Thompson, Trayce","572204","2022","2","45.7","0.7","1.8","-1.4","1.2","35.2","35","16"
"Trout, Mike","545361","2022","-1","44.9","0.1","-1.1","0.1","-0.9","33.3","49","22"
"Tucker, Kyle","663656","2022","0","48.4","-0.9","0.1","0.2","-0.6","32.6","62","30"
"Varsho, Daulton","662139","2022","15","66.2","2.3","1.3","0.2","3.7","37.4","74","49"
"Vaughn, Andrew","683734","2022","-12","21.4","-3","-1.4","0.3","-4","29.3","42","9"
"Verdugo, Alex","657077","2022","-2","47.1","-0.5","0.2","-0.1","-0.5","32.5","85","40"
"Vierling, Matt","663837","2022","-3","41.5","-0.7","-1.9","0.5","-2.1","32.4","53","22"
"Ward, Taylor","621493","2022","-1","44.3","0.7","0.2","0.4","1.2","34.5","61","27"
"Winker, Jesse","608385","2022","-12","15.2","-2.6","-2","0.8","-3.9","28.5","46","7"
"Yastrzemski, Mike","573262","2022","0","51.3","0.8","-0.3","0.2","0.7","34.9","80","41"
"Yelich, Christian","592885","2022","-5","39.1","-1.6","-1.8","0.1","-3.3","30","46","18"
